date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2022-06-06;16;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;16;;;;;0.501;0.583;0.0747;0.734;
2022-06-06;16;;;;;0.501;0.583;0.0747;0.734;
2022-06-06;16;;;;;0.501;0.583;0.0747;0.734;
2022-06-06;16;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-06;16;deja vu;olivia rodrigo;Olivia Rodrigo;deja vu;0.442;0.612;0.37;0.178;olivia rodrigo
2022-06-06;16;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-06;16;2055;sleepy hallow;Sleepy Hallow;2055;0.829;0.512;0.12;0.638;sleepy hallow
2022-06-06;16;;;;;0.501;0.583;0.0747;0.734;
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;16;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;18;still don't know my name;labrinth;Labrinth;Still Don't Know My Name;0.316;0.63;0.205;0.313;labrinth
2022-06-06;18;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-06;18;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;10;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-07;10;unstoppable;sia;Sia;Unstoppable;0.468;0.779;0.101;0.26;sia
2022-06-07;10;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
2022-06-07;10;easy on me;adele;Adele;Easy On Me;0.604;0.366;0.133;0.13;adele
